epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3559.72,1.10008,0.77391,1.13559,0.68373,0.37408,0.41958,0.29701,1.15905,0.87111,1.15605,0.0007294,0.0007294,0.0007294
43,3643.16,1.09775,0.96541,1.09635,0.73503,0.37015,0.41376,0.29202,1.1443,0.86324,1.16005,0.0007228,0.0007228,0.0007228
44,3726.96,1.07571,0.74326,1.12673,0.733,0.36774,0.41981,0.29532,1.15534,0.86187,1.15247,0.0007162,0.0007162,0.0007162
45,3807.62,1.13668,0.78545,1.11666,0.73535,0.35917,0.41358,0.28949,1.15638,0.87591,1.15842,0.0007096,0.0007096,0.0007096
46,3890.33,1.08077,0.76124,1.14227,0.72309,0.37928,0.42481,0.29896,1.16241,0.87127,1.16191,0.000703,0.000703,0.000703
47,3974.97,1.06659,0.73123,1.14938,0.75654,0.37338,0.42542,0.29568,1.17385,0.86771,1.17509,0.0006964,0.0006964,0.0006964
48,4054.83,1.11453,0.76031,1.1366,0.72651,0.36926,0.41608,0.29314,1.15731,0.86541,1.15573,0.0006898,0.0006898,0.0006898
49,4137.86,1.12364,0.76523,1.10725,0.72778,0.37276,0.41856,0.29396,1.17054,0.86303,1.15998,0.0006832,0.0006832,0.0006832
50,4222.51,1.12173,0.78608,1.13814,0.74544,0.37468,0.41797,0.29649,1.15695,0.86347,1.16684,0.0006766,0.0006766,0.0006766
51,4305.43,1.10818,0.74523,1.1077,0.70439,0.37113,0.40727,0.28867,1.15123,0.87026,1.1631,0.00067,0.00067,0.00067
52,4385.69,1.09804,0.76285,1.11395,0.72287,0.37408,0.42049,0.29338,1.13882,0.85503,1.15341,0.0006634,0.0006634,0.0006634
53,4467.14,1.07615,0.72213,1.10518,0.70389,0.36655,0.41138,0.28938,1.15107,0.86315,1.1684,0.0006568,0.0006568,0.0006568
54,4546.72,1.08693,0.7298,1.09666,0.71083,0.3883,0.42764,0.30566,1.12815,0.84726,1.14961,0.0006502,0.0006502,0.0006502
55,4629.74,1.07087,0.73596,1.12926,0.72968,0.38057,0.42677,0.30223,1.14401,0.85826,1.1629,0.0006436,0.0006436,0.0006436
56,4710.27,1.09012,0.78872,1.08999,0.72467,0.39028,0.43298,0.30795,1.12898,0.82653,1.14254,0.000637,0.000637,0.000637
57,4794.5,1.09589,0.75258,1.1074,0.74667,0.38073,0.43064,0.30373,1.1411,0.84183,1.15391,0.0006304,0.0006304,0.0006304
58,4875.83,1.05957,0.72263,1.10766,0.77268,0.36508,0.42539,0.30049,1.14233,0.85352,1.17244,0.0006238,0.0006238,0.0006238
59,4955.9,1.0691,0.71828,1.11682,0.71677,0.37845,0.42236,0.29672,1.14222,0.85113,1.15959,0.0006172,0.0006172,0.0006172
60,5038.76,1.08048,0.71837,1.08773,0.75555,0.37814,0.42619,0.30142,1.15076,0.85395,1.15845,0.0006106,0.0006106,0.0006106
61,5119.6,1.14755,0.75944,1.11008,0.74278,0.37697,0.42794,0.30201,1.13381,0.84944,1.15901,0.000604,0.000604,0.000604
62,5200.86,1.04413,0.71156,1.135,0.72862,0.37735,0.42327,0.29773,1.14568,0.85344,1.15543,0.0005974,0.0005974,0.0005974
63,5280.34,1.12346,0.80096,1.08085,0.74517,0.38357,0.43281,0.30536,1.13114,0.83355,1.14147,0.0005908,0.0005908,0.0005908
64,5362.52,1.12661,0.74619,1.11953,0.73692,0.38686,0.43446,0.30749,1.1216,0.83583,1.15008,0.0005842,0.0005842,0.0005842
65,5446.75,1.05476,1.10066,1.12154,0.74623,0.37925,0.42494,0.30095,1.12536,0.84305,1.15645,0.0005776,0.0005776,0.0005776
66,5531.61,1.09217,0.73183,1.0938,0.73968,0.37639,0.42828,0.30442,1.12272,0.84478,1.13903,0.000571,0.000571,0.000571
67,5613.31,1.07276,0.71397,1.11475,0.71605,0.3808,0.42277,0.29631,1.15215,0.8422,1.16306,0.0005644,0.0005644,0.0005644
68,5693.89,1.10798,0.76546,1.11697,0.72887,0.38404,0.4297,0.30293,1.1436,0.84725,1.15327,0.0005578,0.0005578,0.0005578
69,5775.91,1.07846,0.72981,1.11539,0.7428,0.38457,0.43144,0.30502,1.12556,0.84813,1.15228,0.0005512,0.0005512,0.0005512
70,5854.71,1.06989,0.73272,1.10663,0.75845,0.3754,0.42659,0.3005,1.12342,0.83507,1.14989,0.0005446,0.0005446,0.0005446
71,5936.39,1.06961,0.71855,1.10478,0.76364,0.38101,0.43237,0.30209,1.13677,0.85145,1.14604,0.000538,0.000538,0.000538
72,6019.15,1.0852,0.72518,1.10978,0.71561,0.38069,0.42939,0.30406,1.13799,0.83888,1.14133,0.0005314,0.0005314,0.0005314
73,6099.59,1.102,0.73512,1.10327,0.73847,0.38399,0.43584,0.30556,1.1383,0.83737,1.15215,0.0005248,0.0005248,0.0005248
74,6185.15,1.05043,0.71406,1.10476,0.73121,0.38146,0.43376,0.3071,1.12548,0.84546,1.14371,0.0005182,0.0005182,0.0005182
75,6266.7,1.07152,0.73165,1.11729,0.75578,0.36929,0.42826,0.3034,1.12758,0.85673,1.14828,0.0005116,0.0005116,0.0005116
76,6347.25,1.06252,0.70765,1.10468,0.74088,0.38373,0.43012,0.30349,1.1349,0.84523,1.1515,0.000505,0.000505,0.000505
77,6431.78,1.07161,0.76029,1.11449,0.69353,0.38329,0.42772,0.30036,1.13545,0.84518,1.14447,0.0004984,0.0004984,0.0004984
78,6513.56,1.04864,0.71184,1.0925,0.71075,0.3885,0.43125,0.30542,1.12917,0.83927,1.14665,0.0004918,0.0004918,0.0004918
79,6592.97,1.07521,0.71897,1.10092,0.76695,0.3717,0.43004,0.30437,1.12206,0.83219,1.14629,0.0004852,0.0004852,0.0004852
80,6675.22,1.00486,0.671,1.11245,0.71197,0.39275,0.43,0.30144,1.12832,0.82892,1.14112,0.0004786,0.0004786,0.0004786
81,6759.83,1.04467,0.70777,1.12999,0.73791,0.37869,0.43234,0.30415,1.13841,0.84547,1.15001,0.000472,0.000472,0.000472
82,6843.09,1.06841,0.74704,1.08737,0.75866,0.37958,0.43605,0.30788,1.11419,0.82849,1.14886,0.0004654,0.0004654,0.0004654
83,6924.5,1.05489,0.70373,1.10968,0.72209,0.38152,0.43295,0.30467,1.12634,0.83717,1.15358,0.0004588,0.0004588,0.0004588
84,7004.71,1.05111,0.71207,1.1011,0.76214,0.38223,0.43499,0.30807,1.11894,0.83156,1.14343,0.0004522,0.0004522,0.0004522
85,7085.11,1.05793,0.70983,1.08796,0.71795,0.38843,0.4305,0.30489,1.11358,0.82903,1.14524,0.0004456,0.0004456,0.0004456
86,7165.72,1.07672,0.7305,1.08867,0.71831,0.38119,0.43193,0.30654,1.12604,0.83125,1.15978,0.000439,0.000439,0.000439
87,7247.92,1.10147,0.72873,1.09481,0.75363,0.37757,0.43118,0.30437,1.12881,0.83818,1.15366,0.0004324,0.0004324,0.0004324
88,7328.77,1.0509,0.70556,1.09782,0.7655,0.37909,0.43511,0.3072,1.10897,0.83861,1.15771,0.0004258,0.0004258,0.0004258
89,7412.96,1.03677,0.69676,1.10089,0.65515,0.39624,0.43219,0.30549,1.11631,0.83234,1.14652,0.0004192,0.0004192,0.0004192
90,7490.89,0.99972,0.71165,1.11054,0.74242,0.38516,0.43706,0.30977,1.10002,0.81966,1.13927,0.0004126,0.0004126,0.0004126
91,7573.55,1.09595,0.78275,1.0694,0.73517,0.38854,0.43517,0.31003,1.11881,0.83526,1.14145,0.000406,0.000406,0.000406
92,7655.98,1.03442,0.70079,1.10423,0.74639,0.38482,0.43587,0.30982,1.10682,0.82734,1.1632,0.0003994,0.0003994,0.0003994
93,7733.48,1.02465,0.70666,1.10187,0.73014,0.39489,0.44119,0.31309,1.10604,0.81715,1.14896,0.0003928,0.0003928,0.0003928
94,7815.03,1.11274,0.74109,1.0889,0.7401,0.39352,0.43419,0.3086,1.11341,0.82139,1.14369,0.0003862,0.0003862,0.0003862
95,7896.4,1.03852,0.70042,1.10518,0.7637,0.3815,0.43863,0.30845,1.10611,0.8198,1.14495,0.0003796,0.0003796,0.0003796
96,7976.15,1.03433,0.68277,1.11043,0.6789,0.39734,0.44342,0.31398,1.09923,0.82019,1.13856,0.000373,0.000373,0.000373
97,8056.93,1.01221,0.67069,1.0727,0.67242,0.40334,0.4425,0.31005,1.1147,0.82271,1.14545,0.0003664,0.0003664,0.0003664
98,8137.49,1.05212,0.70955,1.08822,0.66741,0.40217,0.43827,0.30724,1.11894,0.82307,1.15134,0.0003598,0.0003598,0.0003598
99,8216.26,1.0657,0.70993,1.09551,0.67913,0.38738,0.43805,0.3097,1.11256,0.82416,1.14783,0.0003532,0.0003532,0.0003532
100,8299.69,1.0188,0.674,1.08138,0.6784,0.38041,0.43077,0.30947,1.09017,0.81189,1.15077,0.0003466,0.0003466,0.0003466
101,8380.9,1.06433,0.69626,1.06839,0.69021,0.39246,0.43799,0.31306,1.09938,0.81378,1.14107,0.00034,0.00034,0.00034
102,8463.11,1.02602,0.69113,1.09692,0.68367,0.39116,0.43534,0.31135,1.09857,0.81927,1.139,0.0003334,0.0003334,0.0003334
103,8545.76,1.04034,0.69632,1.09823,0.70446,0.38814,0.43519,0.30895,1.10318,0.81651,1.15114,0.0003268,0.0003268,0.0003268
104,8626.65,1.00405,0.66033,1.07731,0.67415,0.40154,0.43727,0.30901,1.1049,0.81825,1.14637,0.0003202,0.0003202,0.0003202
105,8708.91,1.04887,0.70006,1.10391,0.66173,0.39521,0.4363,0.3101,1.1009,0.80622,1.14468,0.0003136,0.0003136,0.0003136
106,8791.57,1.02598,0.69018,1.08584,0.7097,0.39534,0.44573,0.31467,1.10168,0.80647,1.14528,0.000307,0.000307,0.000307
107,8871.54,1.03076,0.6809,1.11114,0.71536,0.39461,0.44432,0.31704,1.09091,0.80786,1.14702,0.0003004,0.0003004,0.0003004
108,8954.58,0.98962,0.6645,1.09482,0.69055,0.3962,0.43825,0.31208,1.0927,0.80759,1.14452,0.0002938,0.0002938,0.0002938
109,9037.46,1.06629,0.70006,1.06332,0.70063,0.38756,0.43728,0.31214,1.09645,0.80634,1.13841,0.0002872,0.0002872,0.0002872
110,9120.42,1.02581,0.70416,1.082,0.73476,0.39215,0.44416,0.31146,1.10169,0.80454,1.13934,0.0002806,0.0002806,0.0002806
111,9202.56,1.02796,0.6766,1.0768,0.67118,0.39993,0.44152,0.31375,1.09565,0.8055,1.13701,0.000274,0.000274,0.000274
112,9283.67,1.02794,0.679,1.07917,0.62723,0.41197,0.44587,0.31518,1.10531,0.80589,1.13513,0.0002674,0.0002674,0.0002674
113,9367.9,1.03218,0.74394,1.1003,0.69881,0.40105,0.44297,0.31195,1.09773,0.81271,1.14392,0.0002608,0.0002608,0.0002608
114,9449.55,1.01254,0.67558,1.06863,0.71358,0.38592,0.4422,0.31265,1.10496,0.81201,1.14298,0.0002542,0.0002542,0.0002542
115,9530.34,1.02836,0.70655,1.08006,0.68063,0.39713,0.44278,0.31711,1.09452,0.80184,1.13637,0.0002476,0.0002476,0.0002476
116,9610.58,1.08983,0.74387,1.06514,0.69948,0.39427,0.44049,0.31433,1.09721,0.80933,1.15171,0.000241,0.000241,0.000241
117,9692.81,0.99348,0.66184,1.1042,0.70338,0.39964,0.44274,0.31677,1.09284,0.80138,1.14421,0.0002344,0.0002344,0.0002344
118,9777.59,1.02682,0.66598,1.06144,0.68388,0.40116,0.44273,0.31472,1.09109,0.81,1.13727,0.0002278,0.0002278,0.0002278
119,9859.61,0.98183,0.6596,1.08438,0.73398,0.39812,0.44377,0.31705,1.0906,0.80247,1.14266,0.0002212,0.0002212,0.0002212
120,9940.7,1.06537,0.69371,1.07147,0.70004,0.39808,0.43987,0.31421,1.09166,0.80522,1.13802,0.0002146,0.0002146,0.0002146
121,10021.6,1.04035,0.6722,1.08407,0.6502,0.41466,0.44366,0.31561,1.09549,0.80051,1.14193,0.000208,0.000208,0.000208
122,10104.1,0.9985,0.65985,1.09408,0.74193,0.38685,0.43942,0.31318,1.09395,0.80522,1.13933,0.0002014,0.0002014,0.0002014
123,10184.1,1.01081,0.66956,1.09392,0.65838,0.4073,0.4405,0.31559,1.09036,0.79995,1.13943,0.0001948,0.0001948,0.0001948
124,10261.6,0.97432,0.6483,1.07682,0.67972,0.40009,0.44018,0.31429,1.0921,0.80543,1.14912,0.0001882,0.0001882,0.0001882
125,10345.3,1.00926,0.67629,1.09083,0.6978,0.38749,0.43792,0.31392,1.09326,0.80221,1.14016,0.0001816,0.0001816,0.0001816
126,10423.9,1.0127,0.66564,1.06688,0.6619,0.39574,0.43703,0.31267,1.09485,0.80006,1.13888,0.000175,0.000175,0.000175
127,10505.2,0.98496,0.65383,1.08947,0.69772,0.40208,0.44351,0.31691,1.08544,0.79707,1.14175,0.0001684,0.0001684,0.0001684
128,10584,1.03801,0.67381,1.08295,0.70808,0.39444,0.4454,0.31668,1.0883,0.79617,1.1394,0.0001618,0.0001618,0.0001618
129,10663.7,0.99344,0.65424,1.09257,0.71517,0.39581,0.44354,0.31558,1.09202,0.79676,1.14043,0.0001552,0.0001552,0.0001552
130,10745,1.0282,0.6745,1.07011,0.69368,0.39228,0.44247,0.31633,1.08594,0.80043,1.14666,0.0001486,0.0001486,0.0001486
131,10828.5,1.02746,0.6761,1.08623,0.65084,0.40238,0.44165,0.31426,1.08907,0.80282,1.1332,0.000142,0.000142,0.000142
132,10912.2,0.99378,0.65992,1.07901,0.69504,0.39525,0.43858,0.31297,1.0927,0.79891,1.14231,0.0001354,0.0001354,0.0001354
133,10996.3,1.00061,0.64646,1.07685,0.68581,0.40056,0.44117,0.31433,1.0876,0.79414,1.14233,0.0001288,0.0001288,0.0001288
134,11076.4,0.98451,0.65075,1.07777,0.68531,0.39809,0.44309,0.31636,1.0843,0.79516,1.13825,0.0001222,0.0001222,0.0001222
